label,avg_calories_kcal,portion_notes
corned beef hash,349.0,1 can (213 g)
cornmeal,442.0,1 cup (122 g)
cornstarch,488.0,1 cup (128 g)
cottage pie,523.0,1 pie (376 g)
cottonseed oil,123.0,1 tbsp (14 ml)
courgette,33.0,1 courgette (196 g)
couscous,650.0,1 cup (173 g)
cracker,35.0,1 cracker (7 g)
cranberries,46.0,1 cup (100 g)
cream of asparagus soup,85.0,1 cup (244 g)
cream of broccoli soup,140.0,1 serving (310 g)
cream of celery soup,92.0,1 cup (248 g)
cream of chicken soup,117.0,1 cup (244 g)
cream of mushroom soup,97.0,1 cup (248 g)
cream of onion soup,107.0,1 cup (244 g)
cream of potato soup,73.0,1 cup (244 g)
creamed spinach,148.0,1 cup (200 g)
creamy chicken noodle soup,56.0,1 cup (245 g)
crunchie mcflurry,318.0,1 mcflurry (183 g)
cucumber,66.0,1 cucumber (410 g)
curly fries,398.0,1 serving (128 g)
currants,63.0,1 cup (112 g)
custard apple,136.0,1 custard apple (135 g)
dairy milk mcflurry,340.0,1 mcflurry (183 g)
dal,304.0,1/2 cup (92 g)
dampfnudel,233.0,1 dampfnudel (85 g)
dates,20.0,1 date (7.1 g)
deep dish pizza,313.0,1 slice (118 g)
deviled eggs,62.0,1/2 egg (31 g)
dim sum,37.0,1 piece (19 g)
dippin dots,381.0,1 cup (170 g)
dominos philly cheese steak pizza,356.0,1 slice (159 g)
dosa,180.0,"Plain dosa, medium"
double cheeseburger,414.0,1 burger (155 g)
double rainbow,185.0,1 scoop (72 g)
dragon fruit,120.0,1 dragonfruit (200 g)
drumsticks,360.0,1 cone (141 g)
dumpling dough,55.0,2 oz. (56 g)
durian,885.0,1 durian (602 g)
durum wheat semolina,119.0,1 tbsp (30 g)
egg noodles,146.0,1 cup (38 g)
egg roll,200.0,1 roll (80 g)
eggplant,115.0,1 eggplant (458 g)
enchiladas,323.0,1 enchilada (192 g)
endive,87.0,1 head (513 g)
fajita,290.0,1 serving (248 g)
falafel,57.0,1 patty (17 g)
farfalle,200.0,2 oz. (56 g)
feijoa,23.0,1 feijoa (42 g)
fennel,73.0,1 bulb (234 g)
fettuccine,198.0,2 oz. (56 g)
figs,37.0,1 fig (50 g)
filet-o-fish,400.0,1 sandwich (142 g)
fish and chips,585.0,1 serving (300 g)
fish sandwich,431.0,1 sandwich (158 g)
flaxseed,897.0,1 cup (168 g)
flaxseed oil,124.0,1 tbsp (14 ml)
four cheese pizza,250.0,1 slice (113 g)
freekeh,832.0,1 cup (160 g)
french fries,222.0,1 serving (71 g)
french onion soup,56.0,1 cup (243 g)
french vanilla ice cream,145.0,1 scoop (72 g)
fried rice,662.0,1 serving (356 g)
fried shrimp,75.0,1 shrimp (27 g)
friendly’s,140.0,1 scoop (66 g)
fruit salad,125.0,1 cup (249 g)
fusilli,197.0,2 oz. (56 g)
galia melon,30.0,1 melon (130 g)
garlic,4.0,1 clove (3 g)
gherkin,9.0,1 gherkin (65 g)
glass noodles,108.0,2 oz. (56 g)
gluten,104.0,1 oz. (28 g)
goat cheese pizza,138.0,1 slice (63 g)
golden mushroom soup,161.0,1 cup (248 g)
goulash,1887.0,1 serving (187 g)
gourd,108.0,1 gourd (771 g)
grape seed oil,124.0,1 tbsp (14 ml)
grapefruit,52.0,1/2 grapefruit (123 g)
grapes,104.0,1 cup (151 g)
green beans,34.0,1 cup (110 g)
green olives,2.0,1 olive (2.7 g)
green onion,5.0,1 green onion (15 g)
greengage,2.0,1 fruit (5 g)
grilled cheese sandwich,392.0,1 sandwich (136 g)
grilled chicken salad,268.0,1 salad (305 g)
grilled pizza,280.0,1 slice (124 g)
grissini,20.0,1 grissini (5 g)
guava,37.0,1 guava (55 g)
ham and cheese sandwich,352.0,1 sandwich (146 g)
ham sandwich,352.0,1 sandwich (146 g)
hamburger,279.0,1 sandwich (110 g)
hawaiian pizza,154.0,1 slice (134 g)
hazelnut oil,124.0,1 tbsp (14 ml)
healthy choice,80.0,1 bar (64 g)
honeydew,45.0,1 wedge (125 g)
horseradish,7.0,1 tbsp (15 g)
hot dog,312.0,1 hot dog (116 g)
hot fudge sundae,333.0,1 sundae (179 g)
hummus,435.0,1 cup (246 g)
ice cream sandwich,265.0,1 bar (112 g)
ice cream sundae,253.0,1 sundae (178 g)
ice milk,164.0,1 scoop (103 g)
idly,60.0,1 piece
instant ramen,371.0,1 package (85 g)
italian bmt,410.0,1 sandwich (224 g)
jackfruit,143.0,1 cup (151 g)
jambalaya,250.0,1 cup (250 g)
jujube,22.0,1 oz. (28.35 g)
kale,33.0,"1 cup, chopped (67 g)"
kamut,627.0,1 cup (186 g)
kebab,774.0,1 kebab (360 g)
kiwi,112.0,1 liwi (183 g)
kohlrabi,108.0,1 kohlrabi (400 g)
kumara,112.0,1 kumara (130 g)
kumquat,13.0,1 kumquat (19 g)
lasagna,172.0,1 piece (130 g)
lasagne,284.0,1 serving (215 g)
lasagne sheets,57.0,1 sheet (21 g)
leek,54.0,1 leek (89 g)
lemon,17.0,1 lemon (58 g)
lentil soup,139.0,1 cup (248 g)
lettuce,90.0,1 head (600 g)
lime,20.0,1 lime (67 g)
linguine,200.0,2 oz. (56 g)
linseed oil,117.0,1 tbsp (14 ml)
lobster bisque soup,248.0,1 cup (248 g)
low carb pasta,158.0,2 oz. (56 g)
lychee,7.0,1 lychee (10 g)
lychees,7.0,1 lychee (10 g)
mac and cheese,699.0,1 serving (189 g)
macaroni,422.0,1 cup (114 g)
macaroni and cheese,699.0,1 serving (189 g)
magnolia,166.0,1 scoop (72 g)
magnum,258.0,1 magnum (86 g)
magnum almond,271.0,1 magnum (86 g)
magnum double caramel,305.0,1 magnum (86 g)
magnum double chocolate,327.0,1 magnum (86 g)
magnum gold,290.0,1 magnum (85 g)
magnum white,255.0,1 magnum (86 g)
mandarin oranges,47.0,1 mandarin orange (88 g)
mango,202.0,1 mango (336 g)
mangosteen,58.0,1 serving (80 g)
manicotti,200.0,2 oz. (56 g)
maracuya,17.0,1 maracuya (18 g)
maraschino cherries,8.0,1 cherry (5 g)
margherita pizza,173.0,1 slice (63 g)
mashed potatoes,174.0,1 cup (210 g)
