label,avg_calories_kcal,portion_notes
roast beef,23,1 slice (21 g)
roast dinner,240,1 slice (121 g)
samosa,107,1 samosa (50 g)
sausage roll,361,1 roll (103 g)
sausage rolls,101,1 roll (34 g)
shepherds pie,159,1 pie (227 g)
shrimp cocktail,130,1 oz. (28 g)
sloppy joe,101,1/2 cup (142 g)
sloppy joes,397,1 bun (258 g)
spaghetti bolognese,374,1 serving (283 g)
spring roll,350,1 roll (140 g)
spring rolls,350,1 roll (140 g)
taco,213,1 taco (98 g)
tandoori chicken,198,1 serving (175 g)
yorkshire pudding,83,1 pudding (15 g)
amaranth,716,1 cup (193 g)
barley,556,1 cup (157 g)
barley groats,31,1 cup (31 g)
buckwheat,583,1 cup (170 g)
buckwheat groats,567,1 cup (164 g)
corn waffles,110,1 waffle (40 g)
cornmeal,442,1 cup (122 g)
cornstarch,488,1 cup (128 g)
couscous,650,1 cup (173 g)
cracker,35,1 cracker (7 g)
durum wheat semolina,119,1 tbsp (30 g)
flaxseed,897,1 cup (168 g)
freekeh,832,1 cup (160 g)
gluten,104,1 oz. (28 g)
grissini,20,1 grissini (5 g)
kamut,627,1 cup (186 g)
millet,484,1 cup (128 g)
millet flour,521,1 cup (140 g)
millet gruel,80,1 cup (174 g)
oat bran,231,1 cup (94 g)
pearl barley,553,1 cup (157 g)
polenta,549,1 cup (150 g)
prawn crackers,16,1 cracker (3 g)
pretzel sticks,46,20 sticks (12 g)
quinoa,626,1 cup (170 g)
rusk,41,1 rusk (10 g)
rye bran,422,1 cup (150 g)
sago,99,1 oz. (28 g)
savoury biscuits,139,40 grams (40 g)
shortbread,95,1 cookie (19 g)
spelt,588,1 cup (174 g)
spelt bran,283,1 cup (160 g)
spelt semolina,601,1 cup (167 g)
sunflower seeds,818,1 cup (140 g)
tortilla,467,1 tortilla (197 g)
tortilla chips,160,20 chips (32 g)
wheat bran,125,1 cup (58 g)
wheat germ,432,1 cup (113 g)
wheat gluten,10,1 tsp (3 g)
wheat semolina,601,1 cup (167 g)
wheat starch,386,1 cup (110 g)
whole grain wheat,407,1 cup (120 g)
wholegrain oat,300,1 cup (80 g)
almond oil,123,1 tbsp (14 ml)
apricot kernel oil,124,1 tbsp (14 ml)
argan oil,125,1 tbsp (14 ml)
avocado oil,120,1 tbsp (14 ml)
babassu oil,124,1 tbsp (14 ml)
canola oil,124,1 tbsp (14 ml)
coconut oil,120,1 tbsp (14 ml)
corn oil,120,1 tbsp (15 ml)
cottonseed oil,123,1 tbsp (14 ml)
flaxseed oil,124,1 tbsp (14 ml)
grape seed oil,124,1 tbsp (14 ml)
hazelnut oil,124,1 tbsp (14 ml)
linseed oil,117,1 tbsp (14 ml)
menhaden oil,128,1 tbsp (14 ml)
mustard oil,124,1 tbsp (14 ml)
oat oil,124,1 tbsp (14 ml)
olive oil,120,1 tbsp (15 ml)
palm kernel oil,123,1 tbsp (14 ml)
palm oil,123,1 tbsp (14 ml)
peanut oil,120,1 tbsp (14 ml)
poppy seed oil,124,1 tbsp (14 ml)
pumpkin seed oil,123,1 tbsp (14 ml)
rice bran oil,124,1 tbsp (14 ml)
safflower oil,120,1 tbsp (14 ml)
salmon oil,128,1 tbsp (14 ml)
sesame oil,124,1 tbsp (14 ml)
shea oil,124,1 tbsp (14 ml)
soy oil,123,1 tbsp (14 ml)
sunflower oil,124,1 tbsp (14 ml)
tomato seed oil,124,1 tbsp (14 ml)
vegetable oil,120,1 tbsp (15 ml)
walnut oil,124,1 tbsp (14 ml)
wheat germ oil,130,1 tbsp (14 ml)
alphabet soup,62,1 cup (248 g)
bean stew,335,1 cup (252 g)
beef bouillon,7,1 cup (240 g)
beef noodle soup,83,1 cup (244 g)
beef soup,70,1 cup (213 g)
bouillon,39,1 cup (244 g)
broccoli cheese soup,264,1 can (303 g)
broccoli soup,206,1 cup (237 g)
cabbage soup,69,1 cup (245 g)
carrot ginger soup,95,1 serving (381 g)
carrot soup,95,1 serving (381 g)
chicken bouillon,10,1 cup (241 g)
chicken broth,39,1 cup (244 g)
chicken gumbo soup,56,1 cup (244 g)
chicken noodle soup,62,1 cup (248 g)
chicken stock,39,1 cup (244 g)
chicken vegetable soup,77,1 cup (248 g)
chicken with rice soup,58,1 cup (243 g)
cream of asparagus soup,85,1 cup (244 g)
cream of broccoli soup,140,1 serving (310 g)
cream of celery soup,92,1 cup (248 g)
cream of chicken soup,117,1 cup (244 g)
